"ID";"TypesOfVehicle";"Periods";"TotalKilometresInTheNetherlands_1";"KilometresByDutchVehicles_2";"KilometresByForeignVehicles_3";"TotalKilometresByDutchVehicles_4";"KilometresInTheNetherlands_5";"KilometresAbroad_6"
"101";"A018936";"1998JJ00";"  3526.0";"  3382.0";"   144.0";"  4428.0";"  3382.0";"  1046.0"
"102";"A018936";"1999JJ00";"  3705.0";"  3567.0";"   138.0";"  4671.0";"  3567.0";"  1103.0"
"103";"A018936";"2000JJ00";"  3522.0";"  3381.0";"   141.0";"  4426.0";"  3381.0";"  1046.0"
"104";"A018936";"2001JJ00";"  3176.3";"  3047.8";"   128.5";"  3905.4";"  3047.8";"   857.6"
"105";"A018936";"2002JJ00";"  3028.3";"  2902.6";"   125.7";"  3733.8";"  2902.6";"   831.1"
"106";"A018936";"2003JJ00";"  2914.0";"  2796.2";"   117.8";"  3602.6";"  2796.2";"   806.5"
"107";"A018936";"2004JJ00";"  2859.6";"  2736.7";"   122.9";"  3525.9";"  2736.7";"   789.2"
"108";"A018936";"2005JJ00";"  2807.2";"  2679.5";"   127.7";"  3453.7";"  2679.5";"   774.2"
"109";"A018936";"2006JJ00";"  2758.6";"  2621.8";"   136.8";"  3377.1";"  2621.8";"   755.3"
"110";"A018936";"2007JJ00";"  2767.9";"  2626.2";"   141.8";"  3357.7";"  2626.2";"   731.5"
"111";"A018936";"2008JJ00";"  2735.6";"  2601.4";"   134.2";"  3272.1";"  2601.4";"   670.7"
"112";"A018936";"2009JJ00";"  2669.8";"  2537.7";"   132.1";"  3175.2";"  2537.7";"   637.5"
"113";"A018936";"2010JJ00";"  2564.2";"  2431.9";"   132.3";"  3050.7";"  2431.9";"   618.8"
"114";"A018936";"2011JJ00";"  2489.8";"  2360.0";"   129.8";"  2999.6";"  2360.0";"   639.5"
"115";"A018936";"2012JJ00";"  2397.1";"  2269.5";"   127.6";"  2867.0";"  2269.5";"   597.5"
"116";"A018936";"2013JJ00";"  2208.6";"  2072.4";"   136.3";"  2733.3";"  2072.4";"   660.9"
"117";"A018936";"2014JJ00";"  2142.6";"  2002.7";"   139.9";"  2649.4";"  2002.7";"   646.7"
"118";"A018936";"2015JJ00";"  2175.6";"  2037.0";"   138.6";"  2595.0";"  2037.0";"   558.0"
"119";"A018936";"2016JJ00";"  2224.1";"  2075.3";"   148.9";"  2587.7";"  2075.3";"   512.4"
"120";"A018936";"2017JJ00";"  2251.0";"  2113.2";"   137.8";"  2562.1";"  2113.2";"   449.0"
"121";"A018936";"2018JJ00";"  2204.9";"  2058.8";"   146.1";"  2542.5";"  2058.8";"   483.6"
"122";"A018936";"2019JJ00";"  2161.7";"  2009.4";"   152.3";"  2479.1";"  2009.4";"   469.7"
"123";"A018936";"2020JJ00";"  2071.9";"  1909.5";"   162.4";"  2364.6";"  1909.5";"   455.1"
"124";"A018937";"1990JJ00";"  2074.0";"  1810.0";"   264.0";"  3380.0";"  1810.0";"  1570.0"
"125";"A018937";"1991JJ00";"  2204.0";"  1920.0";"   284.0";"  3630.0";"  1920.0";"  1710.0"
"126";"A018937";"1992JJ00";"  2412.0";"  2120.0";"   292.0";"  3930.0";"  2120.0";"  1810.0"
"127";"A018937";"1993JJ00";"  2498.0";"  2200.0";"   298.0";"  4090.0";"  2200.0";"  1890.0"
"128";"A018937";"1994JJ00";"  2472.0";"  2146.0";"   326.0";"  4271.0";"  2146.0";"  2124.0"
"129";"A018937";"1995JJ00";"  2619.0";"  2287.0";"   332.0";"  4551.0";"  2287.0";"  2264.0"
"130";"A018937";"1996JJ00";"  2689.0";"  2351.0";"   339.0";"  4677.0";"  2351.0";"  2327.0"
"131";"A018937";"1997JJ00";"  2758.0";"  2419.0";"   339.0";"  4814.0";"  2419.0";"  2395.0"
"132";"A018937";"1998JJ00";"  2893.0";"  2546.0";"   347.0";"  5066.0";"  2546.0";"  2520.0"
"133";"A018937";"1999JJ00";"  3172.0";"  2822.0";"   350.0";"  5616.0";"  2822.0";"  2794.0"
"134";"A018937";"2000JJ00";"  3243.0";"  2860.0";"   383.0";"  5692.0";"  2860.0";"  2832.0"
"135";"A018937";"2001JJ00";"  3415.9";"  2966.8";"   449.0";"  5964.3";"  2966.8";"  2997.5"
"136";"A018937";"2002JJ00";"  3572.4";"  3097.0";"   475.4";"  6240.0";"  3097.0";"  3142.9"
"137";"A018937";"2003JJ00";"  3696.0";"  3229.2";"   466.8";"  6424.3";"  3229.2";"  3195.1"
